2.8264  MSE 26360.6113, SSIM 0.0101
40 0.8002  MSE 19248.3174, SSIM 0.0274
50 0.3550  MSE 19139.1426, SSIM 0.0292
60 0.1453  MSE 18118.9756, SSIM 0.0535
70 0.0673  MSE 16981.9561, SSIM 0.0748
80 0.0330  MSE 14834.7295, SSIM 0.1144
90 0.0174  MSE 12268.2256, SSIM 0.1748
100 0.0102  MSE 10332.6777, SSIM 0.2272
110 0.0065  MSE 8801.0117, SSIM 0.2650
120 0.0041  MSE 7020.3516, SSIM 0.3408
130 0.0026  MSE 5633.4404, SSIM 0.4052
140 0.0017  MSE 4771.0693, SSIM 0.4562
150 0.0012  MSE 3922.8057, SSIM 0.5153
160 0.0008  MSE 2904.2295, SSIM 0.5845
170 0.0006  MSE 2308.1328, SSIM 0.6330
180 0.0004  MSE 1423.2793, SSIM 0.7077
190 0.0003  MSE 1095.8877, SSIM 0.7500
0 249.3014  MSE 19498.3506, SSIM 0.0021
10 164.5962  MSE 19232.8965, SSIM 0.0306
20 159.1579  MSE 19520.0986, SSIM -0.0089
30 156.4248  MSE 19383.2031, SSIM 0.0144
40 154.5345  MSE 19345.5293, SSIM 0.0144
50 153.0509  MSE 19741.7354, SSIM 0.0010
60 152.0832  MSE 19869.7305, SSIM 0.0020
70 151.2365  MSE 19599.5410, SSIM 0.0041
80 150.7208  MSE 19163.9414, SSIM 0.0012
90 150.0784  MSE 19774.1553, SSIM 0.0015
100 149.6803  MSE 19720.2646, SSIM 0.0132
110 149.2845  MSE 19918.3291, SSIM -0.0050
120 148.8939  MSE 19820.6855, SSIM 0.0123
130 148.5488  MSE 20045.5400, SSIM -0.0012
140 148.2918  MSE 19311.6885, SSIM 0.0039
150 148.0612  MSE 19206.3906, SSIM 0.0245
160 147.8585  MSE 19033.7588, SSIM 0.0229
170 147.6901  MSE 19319.3564, SSIM 0.0080
180 147.5214  MSE 18812.3584, SSIM 0.0294
190 147.3725  MSE 19413.2969, SSIM -0.0003
0 37.9839  MSE 30265.9102, SSIM -0.0047
10 10.4568  MSE 29728.7061, SSIM 0.0174
20 7.1235  MSE 29422.2402, SSIM 0.0293
30 5.1206  MSE 31431.0820, SSIM -0.0097
40 3.9940  MSE 30103.6670, SSIM 0.0255
50 3.2493  MSE 31268.4072, SSIM 0.0068
60 2.7159  MSE 31004.1465, SSIM -0.0046
70 2.3196  MSE 30173.7637, SSIM -0.0034
80 2.0404  MSE 30679.0742, SSIM -0.0006
90 1.8171  MSE 30810.8447, SSIM 0.0124
100 1.6190  MSE 30923.0303, SSIM -0.0059
110 1.4651  MSE 30918.7197, SSIM 0.0092
120 1.2261  MSE 30551.2656, SSIM 0.0139
130 1.1076  MSE 30815.8486, SSIM 0.0104
140 1.0146  MSE 31104.3906, SSIM -0.0008
150 0.9477  MSE 30221.5205, SSIM 0.0179
