2.8264  MSE 26360.6113, SSIM 0.0101
60 154.7588  MSE 24840.0635, SSIM 0.0033
70 154.7241  MSE 23497.6523, SSIM 0.0138
80 154.6683  MSE 24875.7031, SSIM 0.0037
90 154.6209  MSE 24371.8789, SSIM -0.0004
100 154.5883  MSE 24277.4854, SSIM 0.0246
110 154.5540  MSE 23971.9785, SSIM 0.0063
120 154.5117  MSE 23526.9043, SSIM 0.0227
130 154.4830  MSE 23109.1445, SSIM 0.0191
140 154.4580  MSE 23899.1182, SSIM 0.0062
150 154.4339  MSE 24203.0879, SSIM 0.0125
160 154.4107  MSE 24911.6787, SSIM 0.0059
170 154.3895  MSE 23997.5264, SSIM 0.0327
180 154.3730  MSE 23634.0732, SSIM 0.0179
190 154.3553  MSE 24567.3203, SSIM 0.0008
0 32.3310  MSE 30969.4277, SSIM 0.0235
10 3.1959  MSE 31203.7266, SSIM 0.0217
20 1.3067  MSE 31006.2559, SSIM -0.0059
30 0.6464  MSE 31015.9141, SSIM 0.0220
40 0.3248  MSE 30587.5996, SSIM 0.0026
50 0.1711  MSE 31932.2441, SSIM -0.0102
60 0.0814  MSE 30650.8594, SSIM 0.0139
70 0.0408  MSE 28898.8818, SSIM 0.0503
80 0.0214  MSE 27679.8076, SSIM 0.0582
90 0.0110  MSE 24213.4736, SSIM 0.1138
100 0.0059  MSE 21487.5791, SSIM 0.1796
110 0.0033  MSE 18410.2383, SSIM 0.2434
120 0.0020  MSE 15342.8535, SSIM 0.3172
130 0.0013  MSE 12751.1777, SSIM 0.3860
140 0.0008  MSE 10693.2939, SSIM 0.4665
150 0.0005  MSE 8405.9102, SSIM 0.5529
160 0.0003  MSE 6272.6230, SSIM 0.6317
170 0.0002  MSE 4950.1338, SSIM 0.7035
180 0.0001  MSE 3673.4102, SSIM 0.7431
190 0.0001  MSE 2745.3975, SSIM 0.8016
0 216.6525  MSE 30359.5752, SSIM 0.0018
10 158.7686  MSE 30820.3623, SSIM 0.0160
20 155.2263  MSE 30818.4785, SSIM 0.0161
30 153.8362  MSE 31794.9463, SSIM -0.0051
40 153.1004  MSE 30176.9229, SSIM 0.0142
50 152.6027  MSE 31184.9043, SSIM 0.0213
60 152.2124  MSE 31630.1426, SSIM -0.0023
70 151.8725  MSE 31045.1006, SSIM 0.0182
80 151.5836  MSE 30546.3506, SSIM 0.0082
90 151.3302  MSE 31464.2275, SSIM 0.0128
100 151.1067  MSE 31559.0869, SSIM -0.0098
110 150.9431  MSE 30725.2080, SSIM 0.0183
120 150.7462  MSE 30918.0176, SSIM 0.0042
130 150.6109  MSE 31952.3379, SSIM 0.0033
140 150.5027  MSE 30721.0205, SSIM 0.0195
150 150.3947  MSE 30782.2256, SSIM -0.0043
160 150.2875  MSE 30111.5342, SSIM 0.0129
170 150.1760  MSE 31882.3066, SSIM 0.0025
180 150.0950  MSE 31128.7959, SSIM 0.0211
190 150.0194  MSE 31300.6582, SSIM 0.0083
0 216.1131  MSE 27871.3262, SSIM -0.0131
10 508.3482  MSE 25348.9385, SSIM 0.0420
20 508.3482  MSE 25348.9385, SSIM 0.0420
30 508.3482  MSE 25348.9385, SSIM 0.0420
40 508.3482  MSE 25348.9385, SSIM 0.0420
50 508.3482  MSE 25348.9385, SSIM 0.0420
60 508.3482  MSE 25348.9385, SSIM 0.0420
70 508.3482  MSE 25348.9385, SSIM 0.0420
80 508.3482  MSE 25348.9385, SSIM 0.0420
90 508.3482  MSE 25348.9385, SSIM 0.0420
100 508.3482  MSE 25348.9385, SSIM 0.0420
110 508.3482  MSE 25348.9385, SSIM 0.0420
120 508.3482  MSE 25348.9385, SSIM 0.0420
130 508.3482  MSE 25348.9385, SSIM 0.0420
140 508.3482  MSE 25348.9385, SSIM 0.0420
150 508.3482  MSE 25348.9385, SSIM 0.0420
160 508.3482  MSE 25348.9385, SSIM 0.0420
170 508.3482  MSE 25348.9385, SSIM 0.0420
180 508.3482  MSE 25348.9385, SSIM 0.0420
190 508.3482  MSE 25348.9385, SSIM 0.0420
0 175.3462  MSE 27008.5957, SSIM 0.0239
10 158.8186  MSE 26544.9170, SSIM 0.0106
20 913.4614  MSE 26869.4326, SSIM -0.0068
30 913.4614  MSE 26869.4326, SSIM -0.0068
40 913.4614  MSE 26869.4326, SSIM -0.0068
50 913.4614  MSE 26869.4326, SSIM -0.0068
60 913.4614  MSE 26869.4326, SSIM -0.0068
70 913.4614  MSE 26869.4326, SSIM -0.0068
80 913.4614  MSE 26869.4326, SSIM -0.0068
90 913.4614  MSE 26869.4326, SSIM -0.0068
100 913.4614  MSE 26869.4326, SSIM -0.0068
110 913.4614  MSE 26869.4326, SSIM -0.0068
120 913.4614  MSE 26869.4326, SSIM -0.0068
130 913.4614  MSE 26869.4326, SSIM -0.0068
140 913.4614  MSE 26869.4326, SSIM -0.0068
150 913.4614  MSE 26869.4326, SSIM -0.0068
160 913.4614  MSE 26869.4326, SSIM -0.0068
170 913.4614  MSE 26869.4326, SSIM -0.0068
180 913.4614  MSE 26869.4326, SSIM -0.0068
190 913.4614  MSE 26869.4326, SSIM -0.0068
0 4.3824  MSE 25679.0146, SSIM 0.0278
10 1.2157  MSE 26235.3291, SSIM 0.0182
20 425.3985  MSE 26360.8691, SSIM 0.0419
30 425.3985  MSE 26360.8691, SSIM 0.0419
40 425.3985  MSE 26360.8691, SSIM 0.0419
50 425.3985  MSE 26360.8691, SSIM 0.0419
60 425.3985  MSE 26360.8691, SSIM 0.0419
70 425.3985  MSE 26360.8691, SSIM 0.0419
80 425.3985  MSE 26360.8691, SSIM 0.0419
90 425.3985  MSE 26360.8691, SSIM 0.0419
100 425.3985  MSE 26360.8691, SSIM 0.0419
110 425.3985  MSE 26360.8691, SSIM 0.0419
120 425.3985  MSE 26360.8691, SSIM 0.0419
130 425.3985  MSE 26360.8691, SSIM 0.0419
140 425.3985  MSE 26360.8691, SSIM 0.0419
150 425.3985  MSE 26360.8691, SSIM 0.0419
160 425.3985  MSE 26360.8691, SSIM 0.0419
170 425.3985  MSE 26360.8691, SSIM 0.0419
180 425.3985  MSE 26360.8691, SSIM 0.0419
190 425.3985  MSE 26360.8691, SSIM 0.0419
0 502.1804  MSE 27395.9209, SSIM -0.0136
10 322.6094  MSE 27187.9258, SSIM 0.0084
20 322.6094  MSE 27187.9258, SSIM 0.0084
30 322.6094  MSE 27187.9258, SSIM 0.0084
40 322.6094  MSE 27187.9258, SSIM 0.0084
50 322.6094  MSE 27187.9258, SSIM 0.0084
60 322.6094  MSE 27187.9258, SSIM 0.0084
70 322.6094  MSE 27187.9258, SSIM 0.0084
80 322.6094  MSE 27187.9258, SSIM 0.0084
90 322.6094  MSE 27187.9258, SSIM 0.0084
100 322.6094  MSE 27187.9258, SSIM 0.0084
110 322.6094  MSE 27187.9258, SSIM 0.0084
120 322.6094  MSE 27187.9258, SSIM 0.0084
130 322.6094  MSE 27187.9258, SSIM 0.0084
140 322.6094  MSE 27187.9258, SSIM 0.0084
150 322.6094  MSE 27187.9258, SSIM 0.0084
160 322.6094  MSE 27187.9258, SSIM 0.0084
170 322.6094  MSE 27187.9258, SSIM 0.0084
180 322.6094  MSE 27187.9258, SSIM 0.0084
190 322.6094  MSE 27187.9258, SSIM 0.0084
0 138.2400  MSE 22530.2314, SSIM 0.0177
10 10.6642  MSE 22488.2715, SSIM 0.0130
20 6.1499  MSE 23049.8955, SSIM 0.0052
30 4.2713  MSE 23192.7051, SSIM 0.0033
40 3.3190  MSE 23596.8604, SSIM -0.0084
50 2.7310  MSE 23125.2812, SSIM 0.0299
60 2.0743  MSE 23324.4580, SSIM 0.0166
70 1.7490  MSE 22954.9248, SSIM 0.0041
80 1.5210  MSE 23384.5068, SSIM 0.0104
90 1.3484  MSE 22266.5488, SSIM 0.0095
100 1.2399  MSE 22307.6494, SSIM 0.0208
110 1.1504  MSE 22333.3125, SSIM 0.0274
120 1.0947  MSE 22101.8506, SSIM 0.0325
130 1.0503  MSE 22996.2666, SSIM 0.0210
140 1.0193  MSE 22611.6387, SSIM 0.0074
150 0.9980  MSE 22107.6123, SSIM 0.0091
160 0.9798  MSE 21750.0586, SSIM 0.0231
170 0.9663  MSE 21832.5518, SSIM 0.0171
180 0.9557  MSE 22130.5215, SSIM 0.0197
190 0.9453  MSE 21873.9307, SSIM 0.0317
0 253.1037  MSE 22883.7725, SSIM 0.0102
10 160.8468  MSE 22203.5820, SSIM 0.0010
20 153.8263  MSE 22689.3164, SSIM 0.0095
30 151.2781  MSE 22742.4697, SSIM 0.0281
40 149.3643  MSE 23192.3467, SSIM 0.0108
50 148.0316  MSE 23519.1475, SSIM 0.0133
60 147.0874  MSE 22887.6289, SSIM 0.0228
70 146.4894  MSE 22773.2656, SSIM 0.0085
80 145.9831  MSE 23088.1543, SSIM 0.0085
90 145.5894  MSE 22374.5762, SSIM 0.0145
100 145.2864  MSE 22787.6660, SSIM 0.0065
110 145.0056  MSE 23272.0645, SSIM -0.0040
120 144.7084  MSE 22330.1582, SSIM 0.0153
130 144.4366  MSE 22836.5928, SSIM 0.0113
140 144.2227  MSE 22810.7188, SSIM 0.0175
150 143.9496  MSE 23239.1045, SSIM 0.0091
160 143.6611  MSE 23272.6318, SSIM 0.0162
170 143.4464  MSE 23356.6045, SSIM -0.0036
180 143.2963  MSE 22803.4268, SSIM 0.0181
190 143.1862  MSE 22745.3320, SSIM 0.0211
0 53.9615  MSE 30480.1094, SSIM -0.0005
10 413.3722  MSE 31118.5488, SSIM 0.0100
20 413.3722  MSE 31118.5488, SSIM 0.0100
30 413.3722  MSE 31118.5488, SSIM 0.0100
40 413.3722  MSE 31118.5488, SSIM 0.0100
50 413.3722  MSE 31118.5488, SSIM 0.0100
60 413.3722  MSE 31118.5488, SSIM 0.0100
70 413.3722  MSE 31118.5488, SSIM 0.0100
80 413.3722  MSE 31118.5488, SSIM 0.0100
90 413.3722  MSE 31118.5488, SSIM 0.0100
100 413.3722  MSE 31118.5488, SSIM 0.0100
110 413.3722  MSE 31118.5488, SSIM 0.0100
120 413.3722  MSE 31118.5488, SSIM 0.0100
130 413.3722  MSE 31118.5488, SSIM 0.0100
140 413.3722  MSE 31118.5488, SSIM 0.0100
150 413.3722  MSE 31118.5488, SSIM 0.0100
160 413.3722  MSE 31118.5488, SSIM 0.0100
170 413.3722  MSE 31118.5488, SSIM 0.0100
180 413.3722  MSE 31118.5488, SSIM 0.0100
190 413.3722  MSE 31118.5488, SSIM 0.0100
0 482.2811  MSE 29965.9512, SSIM 0.0088
10 909.7305  MSE 30871.9434, SSIM -0.0208
20 909.7305  MSE 30871.9434, SSIM -0.0208
30 909.7305  MSE 30871.9434, SSIM -0.0208
40 909.7305  MSE 30871.9434, SSIM -0.0208
50 909.7305  MSE 30871.9434, SSIM -0.0208
60 909.7305  MSE 30871.9434, SSIM -0.0208
70 909.7305  MSE 30871.9434, SSIM -0.0208
80 909.7305  MSE 30871.9434, SSIM -0.0208
90 909.7305  MSE 30871.9434, SSIM -0.0208
100 909.7305  MSE 30871.9434, SSIM -0.0208
110 909.7305  MSE 30871.9434, SSIM -0.0208
120 909.7305  MSE 30871.9434, SSIM -0.0208
130 909.7305  MSE 30871.9434, SSIM -0.0208
140 909.7305  MSE 30871.9434, SSIM -0.0208
150 909.7305  MSE 30871.9434, SSIM -0.0208
160 909.7305  MSE 30871.9434, SSIM -0.0208
170 909.7305  MSE 30871.9434, SSIM -0.0208
180 909.7305  MSE 30871.9434, SSIM -0.0208
190 909.7305  MSE 30871.9434, SSIM -0.0208
0 0.3249  MSE 32840.6016, SSIM -0.0202
10 0.1669  MSE 31994.9678, SSIM 0.0049
20 625.8361  MSE 29902.1211, SSIM -0.0071
30 625.8361  MSE 29902.1211, SSIM -0.0071
40 625.8361  MSE 29902.1211, SSIM -0.0071
50 625.8361  MSE 29902.1211, SSIM -0.0071
60 625.8361  MSE 29902.1211, SSIM -0.0071
70 625.8361  MSE 29902.1211, SSIM -0.0071
80 625.8361  MSE 29902.1211, SSIM -0.0071
90 625.8361  MSE 29902.1211, SSIM -0.0071
100 625.8361  MSE 29902.1211, SSIM -0.0071
110 625.8361  MSE 29902.1211, SSIM -0.0071
120 625.8361  MSE 29902.1211, SSIM -0.0071
130 625.8361  MSE 29902.1211, SSIM -0.0071
140 625.8361  MSE 29902.1211, SSIM -0.0071
150 625.8361  MSE 29902.1211, SSIM -0.0071
160 625.8361  MSE 29902.1211, SSIM -0.0071
170 625.8361  MSE 29902.1211, SSIM -0.0071
180 625.8361  MSE 29902.1211, SSIM -0.0071
190 625.8361  MSE 29902.1211, SSIM -0.0071
0 1093.3753  MSE 32122.3115, SSIM 0.0274
10 830.0416  MSE 32898.2373, SSIM -0.0089
20 830.0416  MSE 32898.2373, SSIM -0.0089
30 830.0416  MSE 32898.2373, SSIM -0.0089
40 830.0416  MSE 32898.2373, SSIM -0.0089
50 830.0416  MSE 32898.2373, SSIM -0.0089
60 830.0416  MSE 32898.2373, SSIM -0.0089
70 830.0416  MSE 32898.2373, SSIM -0.0089
80 830.0416  MSE 32898.2373, SSIM -0.0089
90 830.0416  MSE 32898.2373, SSIM -0.0089
100 830.0416  MSE 32898.2373, SSIM -0.0089
110 830.0416  MSE 32898.2373, SSIM -0.0089
120 830.0416  MSE 32898.2373, SSIM -0.0089
130 830.0416  MSE 32898.2373, SSIM -0.0089
140 830.0416  MSE 32898.2373, SSIM -0.0089
150 830.0416  MSE 32898.2373, SSIM -0.0089
160 830.0416  MSE 32898.2373, SSIM -0.0089
170 830.0416  MSE 32898.2373, SSIM -0.0089
180 830.0416  MSE 32898.2373, SSIM -0.0089
190 830.0416  MSE 32898.2373, SSIM -0.0089
0 70.7933  MSE 20115.0234, SSIM 0.0129
10 8.6043  MSE 20564.1104, SSIM -0.0064
20 3.7075  MSE 20470.5117, SSIM 0.0103
30 1.6587  MSE 20172.3154, SSIM 0.0101
40 0.6398  MSE 19540.4834, SSIM 0.0070
50 0.2714  MSE 18150.7012, SSIM 0.0175
60 0.1025  MSE 17127.2158, SSIM 0.0323
70 0.0441  MSE 14315.2656, SSIM 0.0523
80 0.0225  MSE 11902.8662, SSIM 0.0921
90 0.0134  MSE 10439.0410, SSIM 0.1176
100 0.0078  MSE 9175.0752, SSIM 0.1363
110 0.0049  MSE 7569.5566, SSIM 0.1817
120 0.0031  MSE 6077.6924, SSIM 0.2343
130 0.0021  MSE 4966.1104, SSIM 0.2762
140 0.0015  MSE 3964.1582, SSIM 0.3260
150 0.0010  MSE 3139.2861, SSIM 0.3747
160 0.0007  MSE 2413.5840, SSIM 0.4293
170 0.0005  MSE 1883.8447, SSIM 0.4822
180 0.0004  MSE 1457.3896, SSIM 0.5339
190 0.0003  MSE 981.4727, SSIM 0.6005
0 236.1193  MSE 20201.7510, SSIM -0.0033
10 157.3151  MSE 20280.1592, SSIM -0.0039
20 151.7385  MSE 20241.2197, SSIM 0.0011
30 149.6952  MSE 20556.6699, SSIM -0.0098
40 148.2196  MSE 19398.3467, SSIM 0.0108
50 147.2184  MSE 19691.7959, SSIM 0.0108
60 146.3838  MSE 20005.0645, SSIM 0.0213
70 145.7899  MSE 19834.7979, SSIM 0.0165
80 145.2810  MSE 19729.9873, SSIM 0.0135
90 144.8228  MSE 19184.4316, SSIM 0.0133
100 144.4648  MSE 19800.0205, SSIM 0.0093
110 144.1921  MSE 19997.9082, SSIM 0.0184
120 143.8022  MSE 19171.4844, SSIM 0.0307
130 143.4491  MSE 19987.2744, SSIM 0.0079
140 143.1343  MSE 19872.0430, SSIM 0.0077
150 142.8620  MSE 19337.8877, SSIM 0.0121
160 142.6462  MSE 20117.1836, SSIM 0.0094
170 142.4474  MSE 20389.2090, SSIM -0.0065
180 142.2600  MSE 20358.8643, SSIM 0.0136
190 142.0977  MSE 19494.3340, SSIM 0.0105
0 391.1997  MSE 21694.9092, SSIM 0.0117
10 873.7346  MSE 22190.1445, SSIM -0.0175
20 873.7346  MSE 22067.6943, SSIM -0.0160
30 873.7346  MSE 22134.5166, SSIM -0.0139
40 873.7344  MSE 22106.7148, SSIM -0.0141
50 873.7344  MSE 22261.2139, SSIM -0.0150
60 873.7344  MSE 22159.8691, SSIM 0.0016
70 873.7346  MSE 21654.1699, SSIM 0.0136
80 873.7346  MSE 21520.2822, SSIM 0.0147
90 873.7344  MSE 21106.0771, SSIM 0.0254
100 873.7344  MSE 21131.6924, SSIM 0.0174
110 873.7344  MSE 20849.8682, SSIM 0.0269
120 873.7344  MSE 21262.0400, SSIM 0.0160
130 873.7344  MSE 21500.3887, SSIM 0.0230
140 873.7344  MSE 21536.7627, SSIM 0.0221
150 873.7344  MSE 21536.7627, SSIM 0.0221
160 873.7344  MSE 21536.7627, SSIM 0.0221
170 873.7344  MSE 21536.7627, SSIM 0.0221
180 873.7344  MSE 21536.7627, SSIM 0.0221
190 873.7344  MSE 21536.7627, SSIM 0.0221
0 349.9739  MSE 21616.5176, SSIM -0.0049
10 169.5136  MSE 21730.5361, SSIM 0.0008
20 159.7974  MSE 22078.0840, SSIM -0.0102
30 155.9540  MSE 21671.2578, SSIM 0.0168
40 153.9447  MSE 21407.0762, SSIM 0.0233
50 151.5145  MSE 21412.5137, SSIM 0.0179
60 150.3622  MSE 22166.9473, SSIM -0.0076
70 149.6125  MSE 21327.5752, SSIM 0.0159
80 148.9256  MSE 22226.0146, SSIM -0.0072
90 148.4445  MSE 21746.2842, SSIM -0.0003
100 148.0045  MSE 21496.2305, SSIM 0.0283
110 147.5850  MSE 22331.8701, SSIM -0.0036
120 147.0891  MSE 21975.3457, SSIM 0.0058
130 146.6821  MSE 21613.4072, SSIM 0.0054
140 146.3782  MSE 21089.6094, SSIM 0.0154
150 146.0985  MSE 20333.7998, SSIM 0.0333
160 145.8486  MSE 20577.2822, SSIM 0.0214
170 145.6332  MSE 20843.1797, SSIM 0.0356
180 145.4443  MSE 21505.7734, SSIM 0.0126
190 145.2485  MSE 21730.8574, SSIM 0.0063
0 133.8961  MSE 35765.2793, SSIM 0.0208
10 11.5401  MSE 36186.5869, SSIM 0.0071
20 5.1682  MSE 35750.2559, SSIM -0.0165
30 2.1291  MSE 36138.4951, SSIM -0.0036
40 0.9151  MSE 35782.1592, SSIM 0.0153
50 0.4455  MSE 36112.2773, SSIM 0.0123
60 0.1933  MSE 35145.1172, SSIM 0.0280
70 0.0881  MSE 33764.3486, SSIM 0.0565
80 0.0416  MSE 30979.8379, SSIM 0.1113
90 0.0219  MSE 27852.8896, SSIM 0.1615
100 0.0122  MSE 25224.7383, SSIM 0.2102
110 0.0071  MSE 22358.4277, SSIM 0.2815
120 0.0041  MSE 19905.0596, SSIM 0.3452
130 0.0025  MSE 17772.0889, SSIM 0.3709
140 0.0016  MSE 15976.1826, SSIM 0.4264
150 0.0010  MSE 14889.0830, SSIM 0.4547
160 0.0007  MSE 14008.3633, SSIM 0.4738
170 0.0005  MSE 12518.5635, SSIM 0.5046
180 0.0003  MSE 10982.9521, SSIM 0.5439
190 0.0002  MSE 9052.4902, SSIM 0.5818
0 251.4941  MSE 35164.4766, SSIM 0.0013
10 158.9175  MSE 35329.8213, SSIM 0.0111
20 150.4656  MSE 35740.5225, SSIM 0.0001
30 146.9342  MSE 35374.6104, SSIM 0.0089
40 145.4231  MSE 35562.5156, SSIM 0.0078
50 144.5586  MSE 36033.0693, SSIM 0.0112
60 143.9549  MSE 37073.0752, SSIM 0.0027
70 143.4077  MSE 36117.9062, SSIM -0.0065
80 143.0427  MSE 36850.6328, SSIM 0.0120
90 142.7119  MSE 36221.7666, SSIM 0.0033
100 142.4671  MSE 36477.9141, SSIM 0.0022
110 142.2892  MSE 35209.5781, SSIM 0.0075
120 142.1320  MSE 34664.1025, SSIM 0.0312
130 141.9110  MSE 34265.3584, SSIM 0.0365
140 141.6552  MSE 36120.0068, SSIM -0.0212
150 141.4329  MSE 35699.9775, SSIM 0.0065
160 141.2612  MSE 35154.4541, SSIM 0.0074
170 141.1330  MSE 36248.6943, SSIM 0.0165
180 141.0136  MSE 35810.6475, SSIM -0.0008
190 140.9122  MSE 36484.9883, SSIM -0.0095
0 169.3166  MSE 32936.3135, SSIM 0.0212
10 20.6795  MSE 33156.0723, SSIM 0.0002
20 7.5107  MSE 31292.3545, SSIM 0.0336
30 3.5797  MSE 32998.0020, SSIM 0.0034
40 2.2463  MSE 32595.2979, SSIM 0.0177
50 1.7907  MSE 30485.1230, SSIM 0.0422
60 1.6220  MSE 29562.8496, SSIM 0.0555
70 1.5580  MSE 28997.6143, SSIM 0.0643
80 1.5305  MSE 28473.8203, SSIM 0.0672
90 1.5170  MSE 28182.8057, SSIM 0.0736
100 0.1179  MSE 26445.2510, SSIM 0.0987
110 0.0446  MSE 23082.8086, SSIM 0.1484
120 0.0225  MSE 19905.5596, SSIM 0.2443
130 0.0122  MSE 16749.0869, SSIM 0.3277
140 0.0066  MSE 14199.3057, SSIM 0.4097
150 0.0041  MSE 12188.9277, SSIM 0.5181
160 0.0027  MSE 10722.9170, SSIM 0.5802
170 0.0018  MSE 9002.9482, SSIM 0.6439
180 0.0012  MSE 7689.1660, SSIM 0.6764
190 0.0008  MSE 6130.6035, SSIM 0.7485
0 521.4517  MSE 34118.6934, SSIM -0.0063
10 381.0468  MSE 33882.2812, SSIM -0.0010
20 368.3467  MSE 33170.0557, SSIM 0.0153
30 362.4232  MSE 33379.3340, SSIM 0.0112
40 357.4223  MSE 33254.4648, SSIM 0.0005
50 353.3657  MSE 32886.2539, SSIM 0.0038
60 349.4514  MSE 33134.8613, SSIM 0.0007
70 346.5831  MSE 32321.9092, SSIM -0.0042
80 342.8004  MSE 32713.2988, SSIM -0.0031
90 336.3153  MSE 32338.3174, SSIM 0.0165
100 332.0335  MSE 32571.1367, SSIM 0.0258
110 327.3535  MSE 32781.4238, SSIM 0.0119
120 324.6970  MSE 33054.1182, SSIM 0.0130
130 321.8662  MSE 32455.3271, SSIM 0.0134
140 318.8702  MSE 33244.8320, SSIM -0.0033
150 316.4710  MSE 33810.9805, SSIM 0.0001
160 313.6016  MSE 33192.4326, SSIM 0.0102
170 311.2000  MSE 33419.2529, SSIM 0.0117
180 308.7721  MSE 32431.3828, SSIM 0.0117
190 306.5300  MSE 32137.3867, SSIM 0.0179
0 135.2450  MSE 28495.0762, SSIM 0.0082
10 13.3483  MSE 28450.7520, SSIM -0.0007
20 5.4109  MSE 28240.4287, SSIM 0.0174
30 2.3851  MSE 28305.0234, SSIM 0.0087
40 1.2262  MSE 28734.7441, SSIM 0.0257
50 0.6164  MSE 28669.2100, SSIM -0.0053
60 0.2836  MSE 27406.4912, SSIM 0.0401
70 0.1290  MSE 24331.1240, SSIM 0.0770
80 0.0595  MSE 19529.0752, SSIM 0.1423
90 0.0265  MSE 14781.7607, SSIM 0.2344
100 0.0141  MSE 12084.2979, SSIM 0.3236
110 0.0080  MSE 9752.7090, SSIM 0.3943
120 0.0048  MSE 6959.6748, SSIM 0.5112
130 0.0028  MSE 4504.0664, SSIM 0.6226
140 0.0017  MSE 3176.9492, SSIM 0.7290
150 0.0011  MSE 2092.1553, SSIM 0.8156
160 0.0007  MSE 1431.3184, SSIM 0.8627
170 0.0005  MSE 1140.9277, SSIM 0.8888
180 0.0003  MSE 670.3018, SSIM 0.9277
190 0.0002  MSE 556.1045, SSIM 0.9411
0 276.6387  MSE 28486.4229, SSIM 0.0100
10 152.8741  MSE 28962.9863, SSIM 0.0078
20 146.0465  MSE 28293.8662, SSIM -0.0001
30 143.7286  MSE 28138.5684, SSIM 0.0313
40 142.4870  MSE 28654.9121, SSIM -0.0056
50 141.6359  MSE 28643.5801, SSIM 0.0048
60 141.1010  MSE 28226.6357, SSIM -0.0002
70 140.6962  MSE 27478.4473, SSIM 0.0103
80 140.3723  MSE 28346.5430, SSIM -0.0080
90 140.0938  MSE 29030.4492, SSIM 0.0006
100 139.8675  MSE 28477.3418, SSIM 0.0186
110 139.6407  MSE 28724.7998, SSIM 0.0093
120 139.4404  MSE 28849.4375, SSIM -0.0135
130 139.2426  MSE 27473.5361, SSIM 0.0157
140 139.0896  MSE 28419.1895, SSIM 0.0190
150 138.9181  MSE 27950.4131, SSIM 0.0154
160 138.7981  MSE 27630.8135, SSIM 0.0052
170 138.7060  MSE 28141.8262, SSIM 0.0100
180 138.5972  MSE 28662.6748, SSIM 0.0036
190 138.5212  MSE 27613.5527, SSIM 0.0232
0 106.0824  MSE 23229.6748, SSIM -0.0038
10 13.8494  MSE 23575.9336, SSIM -0.0008
20 7.8213  MSE 23127.1455, SSIM 0.0349
30 5.4022  MSE 23083.0928, SSIM -0.0022
40 3.6421  MSE 23380.6709, SSIM 0.0237
50 2.5876  MSE 22659.0059, SSIM 0.0083
60 1.9829  MSE 22518.2520, SSIM 0.0253
70 1.4436  MSE 23091.1250, SSIM 0.0127
80 1.1091  MSE 23143.2373, SSIM 0.0008
90 0.8629  MSE 23345.4893, SSIM 0.0053
100 0.6619  MSE 23947.8115, SSIM -0.0159
110 0.5061  MSE 23920.3867, SSIM 0.0061
120 0.3902  MSE 23138.8066, SSIM 0.0071
130 0.3153  MSE 23599.7451, SSIM 0.0096
140 0.2389  MSE 22847.6104, SSIM 0.0340
150 0.1722  MSE 22698.7051, SSIM 0.0305
160 0.1222  MSE 22323.1611, SSIM 0.0420
170 0.0935  MSE 21994.3018, SSIM 0.0502
180 0.0705  MSE 20994.3711, SSIM 0.0644
190 0.0501  MSE 20260.5137, SSIM 0.0666
0 288.8206  MSE 23383.4570, SSIM 0.0173
10 172.1259  MSE 22963.1973, SSIM 0.0224
20 165.6218  MSE 22703.3975, SSIM 0.0062
30 162.6368  MSE 22939.8320, SSIM -0.0037
40 160.3176  MSE 22676.2256, SSIM 0.0224
50 158.4428  MSE 22174.8682, SSIM 0.0383
60 157.2762  MSE 23039.2676, SSIM 0.0015
70 156.5312  MSE 23646.4424, SSIM -0.0036
80 155.7291  MSE 22994.4639, SSIM 0.0124
90 155.0297  MSE 22625.7969, SSIM 0.0104
100 154.2705  MSE 23234.7588, SSIM -0.0104
110 153.7642  MSE 22896.0264, SSIM -0.0084
120 153.3689  MSE 23389.3125, SSIM -0.0193
130 152.9911  MSE 23747.1475, SSIM 0.0048
140 152.5410  MSE 23449.3672, SSIM -0.0019
150 152.1623  MSE 23075.2939, SSIM -0.0105
160 151.8001  MSE 23352.1660, SSIM 0.0189
170 151.5348  MSE 22230.5498, SSIM 0.0161
180 151.3181  MSE 22435.6973, SSIM 0.0292
190 151.1218  MSE 22693.6387, SSIM -0.0049
0 232.2894  MSE 21399.2041, SSIM -0.0087
10 26.7156  MSE 20848.4043, SSIM -0.0032
20 7.3925  MSE 20267.8447, SSIM 0.0048
30 2.5732  MSE 20212.7607, SSIM 0.0107
40 0.8367  MSE 19240.2383, SSIM 0.0172
50 0.2697  MSE 16357.8389, SSIM 0.0789
60 0.1017  MSE 13102.2510, SSIM 0.1457
70 0.0435  MSE 10179.4072, SSIM 0.2382
80 0.0227  MSE 7167.0342, SSIM 0.3299
90 0.0124  MSE 4601.0029, SSIM 0.4462
100 0.0069  MSE 3121.7520, SSIM 0.5553
110 0.0041  MSE 2271.5244, SSIM 0.6319
120 0.0023  MSE 1456.3770, SSIM 0.7187
130 0.0014  MSE 978.7236, SSIM 0.7719
140 0.0009  MSE 664.1914, SSIM 0.8124
150 0.0006  MSE 468.5947, SSIM 0.8476
160 0.0004  MSE 324.3916, SSIM 0.8812
170 0.0003  MSE 234.8818, SSIM 0.9058
180 0.0002  MSE 169.7754, SSIM 0.9263
190 0.0001  MSE 125.5674, SSIM 0.9422
0 464.0321  MSE 20160.9854, SSIM 0.0213
10 192.7799  MSE 20754.0693, SSIM -0.0063
20 170.4506  MSE 19602.9863, SSIM 0.0231
